,Unnamed: 0,song,debut_date,peak_position,peak_date,weeks_on_chart,taylors version
0,0,you belong with me,11.22.08,2,08.22.09,50,0
1,1,shake it off,09.06.14,1,09.06.14,50,0
2,2,love story,09.27.08,4,01.17.09,49,0
3,3,teardrops on my guitar,03.24.07,13,03.01.08,48,0
4,4,our song,10.13.07,16,01.19.08,36,0
5,5,blank space,11.15.14,1,11.29.14,36,0
6,6,i knew you were trouble.,10.27.12,2,01.12.13,36,0
7,7,delicate,03.24.18,12,07.28.18,35,0
8,8,style,11.15.14,6,03.21.15,32,0
9,9,wildest dreams,11.15.14,5,11.07.15,27,0
10,10,bad blood,11.15.14,1,06.06.15,25,0
11,11,we are never ever getting back together,08.25.12,1,09.01.12,24,0
12,12,i don't wanna live forever,12.31.16,2,03.04.17,23,0
13,13,mine,08.21.10,3,08.21.10,23,0
14,14,white horse,11.29.08,13,11.29.08,22,0
15,15,red,10.20.12,6,10.20.12,22,0
16,16,lover,08.31.19,10,09.07.19,22,0
17,17,you need to calm down,06.29.19,2,06.29.19,21,0
18,18,two is better than one,09.26.09,18,01.30.10,21,0
19,19,fifteen,11.29.08,23,12.19.09,21,0
20,20,sparks fly,11.13.10,17,11.13.10,20,0
21,21,tim mcgraw,09.23.06,40,01.13.07,20,0
22,22,should've said no,06.07.08,33,08.09.08,20,0
23,23,picture to burn,03.01.08,28,05.17.08,20,0
24,24,back to december,10.30.10,6,10.30.10,20,0
25,25,mean,11.06.10,11,11.06.10,20,0
26,26,begin again,10.13.12,7,10.13.12,20,0
27,27,everything has changed,11.10.12,32,10.26.13,20,0
28,28,ours,11.26.11,13,11.26.11,20,0
29,29,look what you made me do,09.09.17,1,09.16.17,20,0
30,30,...ready for it?,09.23.17,4,09.23.17,20,0
31,31,22,11.10.12,20,05.11.13,20,0
32,32,highway don't care,02.23.13,22,06.08.13,20,0
33,33,me!,05.04.19,2,05.11.19,20,0
34,34,willow,12.26.20,1,12.26.20,20,0
35,35,both of us,05.19.12,18,05.19.12,19,0
36,36,today was a fairytale,02.06.10,2,02.06.10,18,0
37,37,safe & sound,01.07.12,30,01.07.12,17,0
38,38,fearless,11.01.08,9,11.01.08,15,0
39,39,all too well,11.27.21,1,11.27.21,15,1
40,40,cardigan,08.08.20,1,08.08.20,14,0
41,41,end game,12.09.17,18,01.27.18,14,0
42,42,message in a bottle,11.27.21,45,11.27.21,13,1
43,43,eyes open,04.07.12,19,04.07.12,13,0
44,44,the story of us,11.13.10,41,11.13.10,12,0
45,45,out of the woods,11.01.14,18,11.01.14,10,0
46,46,new romantics,03.21.15,46,04.30.16,8,0
47,47,crazier,04.11.09,17,05.02.09,8,0
48,48,the man,09.07.19,23,09.07.19,8,0
49,49,the 1,08.08.20,4,08.08.20,6,0
50,50,exile,08.08.20,6,08.08.20,5,0
51,51,you're not sorry,11.15.08,11,11.15.08,5,0
52,52,christmas tree farm,12.11.21,62,01.01.22,5,0
53,53,gorgeous,11.11.17,13,11.11.17,4,0
54,54,speak now,10.23.10,8,10.23.10,3,0
55,55,change,08.30.08,10,08.30.08,3,0
56,56,jump then fall,11.14.09,10,11.14.09,3,0
57,57,forever & always,11.29.08,34,11.14.09,3,0
58,58,the archer,08.03.19,38,09.07.19,3,0
59,59,mr. perfectly fine,04.17.21,30,04.24.21,3,1
60,60,the joker and the queen,02.26.22,21,02.26.22,3,0
61,61,lavender haze,11.05.22,2,11.05.22,3,0
62,62,anti,11.05.22,1,11.05.22,3,0
63,63,bejeweled,11.05.22,6,11.05.22,3,0
64,64,karma,11.05.22,9,11.05.22,3,0
65,65,mastermind,11.05.22,13,11.05.22,3,0
66,66,snow on the beach,11.05.22,4,11.05.22,3,0
67,67,sweet nothing,11.05.22,15,11.05.22,3,0
68,68,maroon,11.05.22,3,11.05.22,3,0
69,69,vigilante shit,11.05.22,10,11.05.22,3,0
70,70,"you're on your own, kid",11.05.22,8,11.05.22,3,0
71,71,midnight rain,11.05.22,5,11.05.22,3,0
72,72,question...?,11.05.22,7,11.05.22,3,0
73,73,labyrinth,11.05.22,14,11.05.22,3,0
74,74,bigger than the whole sky,11.05.22,21,11.05.22,3,0
75,75,"would've, could've, should've",11.05.22,20,11.05.22,3,0
76,76,paris,11.05.22,32,11.05.22,3,0
77,77,high infidelity,11.05.22,33,11.05.22,3,0
78,78,the great war,11.05.22,26,11.05.22,3,0
79,79,glitch,11.05.22,41,11.05.22,2,0
80,80,dear reader,11.05.22,45,11.05.22,2,0
81,81,state of grace,11.27.21,18,11.27.21,2,1
82,82,champagne problems,12.26.20,21,12.26.20,2,0
83,83,"no body, no crime",12.26.20,34,12.26.20,2,0
84,84,'tis the damn season,12.26.20,39,12.26.20,2,0
85,85,betty,08.08.20,42,08.08.20,2,0
86,86,i bet you think about me,11.27.21,22,11.27.21,2,1
87,87,love story,02.27.21,11,02.27.21,2,1
88,88,you all over me,04.10.21,51,04.10.21,2,1
89,89,red,11.27.21,25,11.27.21,2,1
90,90,i forgot that you existed,09.07.19,28,09.07.19,2,0
91,91,august,08.08.20,23,08.08.20,2,0
92,92,invisible string,08.08.20,37,08.08.20,2,0
93,93,the last great american dynasty,08.08.20,13,08.08.20,2,0
94,94,mirrorball,08.08.20,26,08.08.20,2,0
95,95,seven,08.08.20,35,08.08.20,2,0
96,96,my tears ricochet,08.08.20,16,08.08.20,2,0
97,97,babe,05.05.18,72,05.05.18,2,0
98,98,cruel summer,09.07.19,29,09.07.19,2,0
99,99,untouchable,11.14.09,19,11.14.09,2,0
100,100,the other side of the door,11.14.09,23,11.14.09,2,0
101,101,haunted,11.13.10,63,11.13.10,2,0
102,102,ronan,09.22.12,16,09.22.12,2,0
103,103,if this was a movie,11.26.11,10,11.26.11,2,0
104,104,call it what you want,11.25.17,27,11.25.17,2,0
105,105,welcome to new york,11.08.14,48,11.08.14,2,0
106,106,sweeter than fiction,11.09.13,34,11.09.13,1,0
107,107,the moment i knew,01.26.13,64,01.26.13,1,0
108,108,you are in love,03.14.15,83,03.14.15,1,0
109,109,wonderland,03.07.15,51,03.07.15,1,0
110,110,superman,11.26.11,26,11.26.11,1,0
111,111,all too well,11.10.12,80,11.10.12,1,0
112,112,state of grace,11.03.12,13,11.03.12,1,0
113,113,i almost do,11.10.12,65,11.10.12,1,0
114,114,stay stay stay,11.10.12,91,11.10.12,1,0
115,115,last kiss,11.13.10,71,11.13.10,1,0
116,116,long live,11.13.10,85,11.13.10,1,0
117,117,dear john,11.13.10,54,11.13.10,1,0
118,118,never grow up,11.13.10,84,11.13.10,1,0
119,119,enchanted,11.13.10,75,11.13.10,1,0
120,120,better than revenge,11.13.10,56,11.13.10,1,0
121,121,superstar,11.14.09,26,11.14.09,1,0
122,122,breathless,02.13.10,72,02.13.10,1,0
123,123,innocent,11.13.10,27,11.13.10,1,0
124,124,hey stephen,11.29.08,94,11.29.08,1,0
125,125,the way i loved you,11.29.08,72,11.29.08,1,0
126,126,come in with the rain,11.14.09,30,11.14.09,1,0
127,127,breathe,11.29.08,87,11.29.08,1,0
128,128,afterglow,09.07.19,75,09.07.19,1,0
129,129,false god,09.07.19,77,09.07.19,1,0
130,130,death by a thousand cuts,09.07.19,67,09.07.19,1,0
131,131,miss americana & the heartbreak prince,09.07.19,49,09.07.19,1,0
132,132,it's nice to have a friend,09.07.19,92,09.07.19,1,0
133,133,i think he knows,09.07.19,51,09.07.19,1,0
134,134,cornelia street,09.07.19,57,09.07.19,1,0
135,135,paper rings,09.07.19,45,09.07.19,1,0
136,136,soon you'll get better,09.07.19,63,09.07.19,1,0
137,137,daylight,09.07.19,89,09.07.19,1,0
138,138,london boy,09.07.19,62,09.07.19,1,0
139,139,peace,08.08.20,58,08.08.20,1,0
140,140,hoax,08.08.20,71,08.08.20,1,0
141,141,epiphany,08.08.20,57,08.08.20,1,0
142,142,this is me trying,08.08.20,39,08.08.20,1,0
143,143,illicit affairs,08.08.20,44,08.08.20,1,0
144,144,mad woman,08.08.20,47,08.08.20,1,0
145,145,christmas tree farm,12.21.19,59,12.21.19,1,0
146,146,only the young,02.15.20,50,02.15.20,1,0
147,147,everything has changed,11.27.21,63,11.27.21,1,1
148,148,stay stay stay,11.27.21,67,11.27.21,1,1
149,149,babe,11.27.21,69,11.27.21,1,1
150,150,nothing new,11.27.21,43,11.27.21,1,1
151,151,run,11.27.21,47,11.27.21,1,1
152,152,i knew you were trouble,11.27.21,46,11.27.21,1,1
153,153,22,11.27.21,52,11.27.21,1,1
154,154,we are never ever getting back together,11.27.21,55,11.27.21,1,1
155,155,gold rush,12.26.20,40,12.26.20,1,0
156,156,long story short,12.26.20,68,12.26.20,1,0
157,157,cowboy like me,12.26.20,71,12.26.20,1,0
158,158,tolerate it,12.26.20,45,12.26.20,1,0
159,159,ivy,12.26.20,61,12.26.20,1,0
160,160,evermore,12.26.20,57,12.26.20,1,0
161,161,coney island,12.26.20,63,12.26.20,1,0
162,162,closure,12.26.20,82,12.26.20,1,0
163,163,dorothea,12.26.20,67,12.26.20,1,0
164,164,happiness,12.26.20,52,12.26.20,1,0
165,165,marjorie,12.26.20,75,12.26.20,1,0
166,166,you belong with me,04.24.21,75,04.24.21,1,1
167,167,fifteen,04.24.21,88,04.24.21,1,1
168,168,fearless,04.24.21,71,04.24.21,1,1
169,169,forever & always,04.24.21,65,04.24.21,1,1
170,170,the way i loved you,04.24.21,94,04.24.21,1,1
171,171,renegade,07.17.21,73,07.17.21,1,0
172,172,wildest dreams,10.02.21,37,10.02.21,1,1
173,173,treacherous,11.27.21,54,11.27.21,1,1
174,174,better man,11.27.21,51,11.27.21,1,1
175,175,i almost do,11.27.21,59,11.27.21,1,1
176,176,the last time,11.27.21,66,11.27.21,1,1
177,177,holy ground,11.27.21,76,11.27.21,1,1
178,178,the very first night,11.27.21,61,11.27.21,1,1
179,179,begin again,11.27.21,77,11.27.21,1,1
180,180,the lucky one,11.27.21,84,11.27.21,1,1
181,181,sad beautiful tragic,11.27.21,85,11.27.21,1,1
182,182,forever winter,11.27.21,79,11.27.21,1,1
183,183,the moment i knew,11.27.21,83,11.27.21,1,1
184,184,starlight,11.27.21,90,11.27.21,1,1
185,185,come back...be here,11.27.21,87,11.27.21,1,1
186,186,this love,05.21.22,50,05.21.22,1,1
187,187,carolina,07.09.22,60,07.09.22,1,0
